1511.8,50,0,1
1137,50,0,1
1028,50,0,1
1103.7,50,0,1
1192.3,50,0,1
1335.6,50,0,1
1252.5,50,0,1
2323.4,50,0,1
3023.6,50,0,1
2698,50,0,1
2366.3,50,0,1
2196.5,50,0,1
2198,50,0,1
2257.7,50,0,1
2298,50,0,1
1268.1,50,10,1
1195.9,50,10,1
1262,50,10,1
1117.4,50,10,1
1040.7,50,10,1
1340.2,50,10,1
1763.8,50,10,1
1113.8,50,10,1
1259.8,50,10,1
1856,50,10,1
1887.9,50,10,1
3061.1,50,10,1
2167.3,50,10,1
2599.1,50,10,1
2016.7,50,10,1
2160,50,10,1
2191,50,10,1
3019.1,50,20,1
2563.5,50,20,1
2327.1,50,20,1
2265,50,20,1
2106.1,50,20,1
3067.4,50,20,1
2888,250,10,1
2416.5,250,10,1
2488,250,10,1
2334.4,250,10,1
3158.7,250,10,1
2199.3,250,10,1
3333.1,250,10,1
1511.8,500,0,1
1137,500,0,1
1028,500,0,1
1103.7,500,0,1
1192.3,500,0,1
1335.6,500,0,1
1252.5,500,0,1
