0.28317,0.16736,0.26238,0.052528,0.11244,0.045666,0.00942,0,0
0.41743,0.13821,-0.004547,0.25918,0.11286,0.038391,0.2145,0,0
0.67613,0.3875,0.63543,0.2047,0.48998,0.27967,0.22566,0,0
0.068867,0.12532,-0.046965,0.001557,0.00786,0.14761,-0.008231,0,0
0.10981,-0.030592,0.15767,0.11627,0.24203,0.09567,0.009245,0,0
0.084853,-0.01059,0.43099,0.031395,0.19662,0.07469,0.27081,0,0
0.03055,0.041006,0.23816,0.18444,-0.002701,0.071348,0.030352,0,0
0.33088,0.75372,0.44123,0.55354,0.22696,0.33086,0.002357,0,0
0.02028,0.013501,0.018699,0.062782,0.064226,-0.007393,0,0,0
0.41542,0.10478,0.4739,0.070209,0.26246,0.08363,0.093701,0,0
