1284.4,10,10,1
1374.6,10,10,1
1321.3,10,10,1
1373.4,10,10,1
1213.8,10,10,1
1184.2,10,10,1
1110,10,10,1
1240.6,50,10,1
1241.7,50,10,1
1197.3,50,10,1
1271.9,50,10,1
1206.7,50,10,1
1263.1,50,10,1
1503.9,50,10,1
1302.2,250,10,1
1333.2,250,10,1
1199.0,250,10,1
1281.3,250,10,1
1217.0,250,10,1
1259.8,250,10,1
1181.9,250,10,1
1400.6,10,0,1
1415.4,10,0,1
1366.1,10,0,1
1070.4,10,0,1
1221.1,10,0,1
1235.5,10,0,1
1164.4,10,0,1
1310.7,50,0,1
1249.3,50,0,1
1126.7,50,0,1
1250.5,50,0,1
1231.8,50,0,1
1134.1,50,0,1
1277.3,50,0,1
1178.2,250,0,1
1320.5,250,0,1
1138,250,0,1
1419.3,250,0,1
1222.5,250,0,1
1082.4,250,0,1
1378.8,250,0,1
971.16,50,10,1
966.36,50,10,1
979.73,50,10,1
1098,50,10,1
882.28,50,10,1
1170,50,10,1
951.87,50,10,1
1531.4,50,10,1
1720.8,50,10,1
1785.7,50,10,1
1787.9,50,10,1
1604.3,50,10,1
1578.5,50,10,1
1470.3,50,10,1
878.56,50,0,1
1063.6,50,0,1
963.42,50,0,1
998.28,50,0,1
1067.4,50,0,1
1164.8,50,0,1
1388.7,50,0,1
1672.6,50,0,1
1678.8,50,0,1
1684.6,50,0,1
1403.3,50,0,1
1609.1,50,0,1
1530.8,50,0,1
